担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,類似度,参考情報, ,NGワード数,NGワード一覧,再履修
森,23023486,0から1を作る,ブームから文化へ,人生はすごろくである,心の声を聞く,失敗は経験であるから好きなことに挑戦する, , , ,,,, , ,0,, 
森,23023492,人生はサイコロ,失敗してもいい、頭でっかちにならない,やれることはやる,たくさんいろんな経験をする,大学でのつながりを大切にする, , , ,,,, , ,0,, 
森,23023498,どういう人と働くかの働くチーム作り,人から任されるのは頼られている証拠,考えても仕方がないので深く考えない,やると決めたことはやりきる,常に目の前にあることを全力で成し遂げる, , , ,,,, , ,0,, 
森,23023502,失敗は経験なので、恐れずに失敗をした方が良い,常に目の前にあることを一生懸命やる,その分野に詳しくなくても、積極的に周りに聞いたり教えてもらったりして理解する,店舗のブームを文化にすることで、町の文化にも繋がり、町のイメージが変化する,ブランドの作り方や大事にしていることを守りながら、育てていくことが大切であり魅力である, , , ,,,, , ,0,, 
森,23023509,みんなの前で褒めることは大切,何を大事にするかとかトレンドがどうとか意識しながらチームと物事を進める,国の違いを聞き入れ、感じ方や考え方を共有することは大切,自分が空間とか環境でどう感じるかを一緒に共有することは大事,若いうちにたくさん失敗するべき, , , ,,,, , ,0,, 
森,23023511,縦に考えてもわからないけど横に考える事でやりたいことが見つかる,人から必要とされると嬉しい。どんなに小さくてもその積み重ねで頑張れる。,自分がやると決めたらやる,関学での繋がりが財産である,失敗は経験だから好きだと思うことにどんどんトライすると良い, , , ,Pattern230,縦横事こと必要積み重ね自分関学繋がり財産失敗経験ことトライ,0.85,"対象:24022085 時期:2022/11/14 13:34全てのキーワード:考えても分からないし自分がやるしかないのでやると決めたらやる,常に目の前にあることをしっかり成し遂げていく,関学での繋がりが財産である,失敗は経験だから好きだと思うことにどんどんトライするとよい,人から必要とされると嬉しい。どんなに小さいことであってもその積み重ねで頑張れる", ,0,, 
森,23023522,エアビー,アンティアンズ,失敗は経験,サードウェーブ,感覚で感じたことをみんなで共有, , , ,,,, , ,0,, 
森,23023527,人生はすごろくのようなもの,アルバイトやフランスにいた経験が仕事に役に立っている,失敗をした方がいいこともある,心の声を聞く,学生時代の仲間は財産になる, , , ,,,, , ,0,, 
森,23023542,縦じゃなくて横で色々学んでしたい事を見つけたかった。,自分で開拓するしかなかったから鍛えられた。,任される事の積み重ねが信頼を感じて嬉しかった。,0から1の立ち上げがしたくて転職した。,色んな人の支えがあったおかげで乗り越えられた。, , , ,,,, , ,0,, 
森,23023548,感じる力を鍛える,モノづくりの現場から、人の思いを肌で感じる,物を作る人と情報を共有しながら新しいものを作る,０から１を立ち上げる,打ち込めるようなことを探し出す, , , ,,,, , ,0,, 
森,23023552,任されるというのは信頼されるということ,0から1をつくる,お客様の考えてることを理解する,失敗は経験,好きなことをどんどんトライする, , , ,,,, , ,0,, 
森,23023561,アルバイトを通して適性を見抜く。,任されるとは信頼されていること。,好きをロジック化する,流行りが来てしまったら終わりも来てしまう。,心の声を聞いて好きな物にどんどんトライ。, , , ,,,, , ,0,, 
森,23023565,任せれるってことは頼られてる、信頼されてるってこと。,新人時代はなんの仕事を任されるか運命,国の違いを聞き入れることが大切。ローカルの意見をリスペクト。,詳しくないなら積極的に教えてもらう。自分の足でいろんなところに学びにいく。,失敗は経験だから好きだと思うことをどんどんトライする。心の声を聞く。, , , ,,,, , ,0,, 
森,23023569,自分のことを常に褒めることはやる気に繋がる。,文化の違いということを楽しみつつ、仕事に活かす。,学生のうちにたくさん経験を積むことは大切。,ブームから文化へと発展しつつある世の中であるということ。,失敗は経験なので、好きだと思ったことはすぐに実践すべき。, , , ,,,, , ,0,, 
森,23023591,珈琲をフルーツのように扱う。,自分の中でいろんな分野選択しながら蓄積していった。,広報の力で会社の立ち上げに多く貢献する。,会社立ち上げを専門にしている業務に興味があった。,事業を作るのはすごく大変。, , , ,,,, , ,0,, 
森,23023599,ブームから文化へ,新しいプロジェクトを始めるにも、観光地化せず地元の人を第一に考える,失敗は経験,覚悟と責任を持って先が見えない道に突っ込むのもあり,必要な能力より一緒に働きたいと思うかを大事にする, , , ,,,, , ,0,, 
森,23023609,仕事を任されているということは信頼されているということ。,国を超えて仕事をするときには違いを聞き入れることが大切である。,すべての経験が会社につながっていくこと。,とりあえず一歩踏み出してみる。,自分の心の声を聞くこと。, , , ,,,, , ,0,, 
森,23023619,褒められるとやる気が出る,アルバイトを通して自分の適性をはかることができる,信頼と実績により0から1をつくる事業を任され続けた,人生はすごろく,失敗して学んで深みがでると豊かになる, , , ,,,, , ,0,, 
森,23023630,チーム作りとかどういう人と働くのが大事なのかをアルバイトを通して考えて自分を知る,任されるのは信頼されていると思ってその積み重ねで、達成してまた任されるのが嬉しい,言われたら100で返したい,自分の役割や関わっていることに対する自分のインパクトを考えるようになった,失敗は経験になるので好きだと思うことをどんどんトライする, , , ,,,, , ,0,, 
森,23023635,褒めることをしっかり人に言っていくことは大切,任され続けられるということは成果を出し続けて信頼関係を築いている,仕事に誠意をもってやっていることは大切,若い時に失敗を経験したほうがいい,一緒に働きたい、共に過ごしたいと思わせることが大切, , , ,,,, , ,0,, 
森,23023652,任せられてるって頼られてるってこと,人から必要とされると嬉しい,やるって決めたらやる,考えてもわからないし自分でやるしかない,それの選択した責任は自分で取ればいいだけの話, , , ,,,, , ,0,, 
森,23023654,アルバイトを通して自分の適正を見つける,ブームから文化を作る,人のためにやることが次のステップに繋がる,一緒に働きたいと思ってもらえる人になる,関学の縦の繋がりは大事, , , ,,,, , ,0,, 
森,23023678,秘書代行での経験,仕事は信頼の積み重ね,ブームを文化に,マネジメントのベースは褒めること,国の違いをしっかりと聞き入れる, , , ,,,, , ,0,, 
森,23023686,自分の適性を見つける,アルバイトや部活をきっかけにする,信頼されないと仕事は任されない,成果を出し続ける,今できることに打ち込む, , , ,,,, , ,0,, 
森,23023690,他人との繋がりを大切にする。,0から1にする仕事は様々な種類がある。,キャリア形成の展開型,関学は卒業後も人との繋がりが強い。,国によって求められているニーズは違ってくる, , , ,,,, , ,0,, 
森,23023715,みんなの前でたくさん褒める,任されることは信頼されているということ,国の違いをリスペクトして聞き入れる,失敗は経験,心の声を聞く, , , ,,,, , ,0,, 
吉松,24017487,アルバイトを通して自分を知ることができる。,その仕事に対して誠意を持って、実績を残したことで任され続ける。,みんなの前で褒めること、国の違いを聞き入れることが大事。,分からないことは積極的に聞き教えてもらうことが大事。,関学キャンパスを楽しみながら、今できること、今打ち込めることを見つける。, , , ,,,, , ,0,,再履修
吉松,24017542,ブルーボトルコーヒー,CBO,０から１を作り出す,地元の方たちとの交流,失敗を若いうちにたくさん経験する, , , ,,,, , ,0,, 
吉松,24019287,失敗はしていた方がいい。失敗から学んだことで深みが出た方が豊かになる。人生はスゴロクだと考える。,心の声を聞く。頭で考えた時の判断は鈍ることがある。,感じる力から生まれる新しい事はロジカルなことばかりではない、そのためにもいろいろなことを経験しておく,感じる力を鍛えておく。,国の違いを聞き入れる褒めて伸ばす。, , , ,,,, , ,0,,再履修
吉松,24020061,これやってて良かったと思った瞬間,創業者に会えることは素敵なこと,日本から海外へ,みんなで泣いた,責任は自分で取ればいい, , , ,,,, , ,0,, 
吉松,24020084,卒業後の繋がりも大事,心の声を聴く,頭で考えた時の判断は鈍る,失敗したらまた次頑張ればよい,若い時にたくさん失敗した方がよい, , , ,,,, , ,0,, 
吉松,24020085,マルチカルチャーでは日本人の感覚尾違う接し方が大切だ。,やりがいは「人の期待に応えたい」。,どういう想いを持った会社で自分自信が業務に関わるかを自覚することは大切。,やると決めたらやりきる。,（転職などのキャリアについて）当時はクリアではなかったが、振り返ると繋がっていた。, , , ,,,, , ,0,, 
吉松,24020089,アルバイトをたくさんし適切を見る,0から1の立ち上げの広報の重要性,新人から任せられ続けることは信頼や実績の積み重ね,感じる力。ロジカルな部分ではなく生まれていく,展開型キャリア, , , ,,,, , ,0,, 
吉松,24020092,人生は双六,全部の体験がブランドにつながっている,ブームから文化へ,心の声を聞くのは結構大事,レコグニションがすごい大事, , , ,,,, , ,0,,再履修
吉松,24020161,仕事の上では”褒めること”を重視している。,アルバイトを通じて人を支えることが自分自身に合っていると気づいた。,期待に応えたいという気持ちが強いタイプだからこそ、その気持ちを持って仕事をしている。,出身国が違う人に対しては、国の違いをリスペクトしながら聞き入れることが大事。,人生はすごろくみたいなもので、責任や覚悟を決め、目標に向かって失敗を恐れ過ぎずに前に進むことが大事。, , , ,,,, , ,0,, 
吉松,24020185,会議を長引かせるのは良くないとの考えから立ち会議をよくしている,秘書バイト時代の失敗を契機に自分の役割の重要性を考えるようになった,ローカルな意見を尊重することを意識している,流行りより文化にすることを大事にして、メディアよりも先に地元の住民を招待した,行列を作って流行らせると、コンテンツが消費されてしまう, , , ,,,, , ,0,, 
吉松,24020192,成功し続けることで任され続ける,打ち込めることを探す,人生はすごろく,頭で考えたときの判断は鈍る,失敗したらその時はその時, , , ,Pattern146,成功ことこと人生すごろく頭とき判断失敗時時,1.0,"対象:23020207 時期:2022/11/14 16:31全てのキーワード:成功ししづけることで任せてもらえる,打ち込めること,人生はすごろく,頭を使った時判断が鈍る,心配した時はその時", ,0,,再履修
吉松,24020248,仕事を行う上での信頼性,仕事上の責任感,キャリア形成の重要性,打ち込めることを見つける,仕事をゼロから始める挑戦力, , , ,,,, , ,0,, 
吉松,24020249,展開型キャリア形成,ブームから文化,繋がり,失敗は経験,心の声を聞く, , , ,,,, , ,0,,再履修
吉松,24020262,失敗は経験だから、若いうちにたくさん失敗を経験する,好きだと思うことはどんどん挑戦する,頭で考えた時の判断は鈍っていく,心の声をきく,色んな所に行って、色んなことを感じる, , , ,,,, , ,0,, 
吉松,24020294,0から1を作る,仲間は財産,失敗は経験,好きなことはどんどんトライする,心の声を聴く, , , ,Pattern224,01仲間財産失敗経験ことトライ声,0.84,"対象:23022660 時期:今学期全てのキーワード:任されることは信頼されているということ,失敗は経験,心の声を聴く,誰と働きたいかが大切,仲間は財産", ,0,, 
吉松,24020303,ピラミッド的にキャリアを考えるのではなく、失敗を恐れずに挑戦していくことが大切である。,会社の目指す世界観とお客様のニーズを繋ぐ方法を意識しながら、会議の場で提案することが大切である。,学生時代に多くの繋がりを作っておくことで社会に出てから活かせるつながりが増える可能性がある。,失敗は経験なので、頭でっかちにならず、好きだと思えることからトライすることが大切である。,感じる力を育てるためには、陶芸や美術館などに行き、作り手の思い描いている姿に触れることが大切だ。, , , ,,,, , ,0,, 
吉松,24020307,新卒として、新しいことを任されるのは運命。,結果を出したことが、新しいことを任され続けた要因。,自分の足で知見を広める。,仕事を勉強と思わないメンタリティ。,いっときのブームではなく、文化として定着させる。, , , ,,,, , ,0,,再履修
吉松,24020311,いろんなことに興味をもちいろんな授業を受け自分を構築する,チーム作りやどういう人と働くかが大事,アルバイトなどのさまざまな経験から自己分析は可能,相手がどういう気持ちで働いているか考えそれに対して自分のミスを自覚する,一件の大事さお金を稼ぐ重要性や自分の担っているs帰任への自覚, , , ,,,, , ,0,, 
吉松,24020320,仕事を任せられるということは頼られているということ,国の違いを聞き入れる,常に目の前のことを成し遂げる,失敗は経験,心の声を聞く, , , ,Pattern184,仕事ことこと違い常目前こと失敗経験声,1.0,"対象:23021456 時期:今学期全てのキーワード:仕事を任せられるということは頼られているということ,国の違いを聞き入れる,常に目の前のことを成し遂げる,失敗は経験,心の声を聞く", ,0,, 
吉松,24020324,チームマネジメントを行う際は、とにかく言葉に出して褒める,任されるということは信頼してもらっているということ,ゆるって決めたらやる,失敗は経験であるから恐れずどんどんやってみる,自分の心の声を聴く, , , ,,,, , ,0,, 
吉松,24020335,マルチカルチャーの人とお話をする時は褒めることを大切にしている,人から必要とされることは嬉しいし、その積み重ねが大事,ブームから文化へ、地元の人を大切にする,人生はすごろくだと考えている,心の声を聞くことは大切にすべき, , , ,,,, , ,0,, 
吉松,24020380,人生はすごろく。進むこともあるし、戻ってしまうこともある。そう考えて生きることが大事である。,どんどん失敗して、そこから学んでいくことが大事である。その経験が将来の仕事に活きてくるということ。,考えすぎず、好きなことに挑戦をすること。｢心の声｣を聞いて進む事で成長に繋がるということ。,ブランドというのを流行りではなく、文化にする。そういう気持ちを持って事業を進めること。,何か打ち込めるものを見つけてそれを一生懸命頑張ることがこれから先に繋がっていくこと。, , , ,,,, , ,0,, 
吉松,24020397,ブルーボトルコーヒーが京都の町の文化を変えたこと,単純に高いポジションで仕事をしてることにすごいと思った,感じる力、ロジカルではない部分を得るためにたくさんの経験を積むこと,共有しながら新しいものを作ることが大切,今の時代転職を通じてキャリアアップできるため、新卒が全てではないと思いながら就活しようと思った, , , ,,,, , ,0,,再履修
吉松,24020427,大学４年間で学内に限らず、学外でした多くの経験が仕事に活きたということ。,「ブームから文化へ」という会社の想いを実現するために地域の住民を大事にしていたこと。,任されるということは信頼されているということ。それを糧にすれば、成果を上げることができる。,目標にむかって逆算して進むだけでなく、何かをしようと一歩を踏み出す勇気の大切さ。,頭で考えたときの判断は鈍ることがある。大事なことは心に訊くこと。, , , ,,,, , ,0,, 
吉松,24020439,横の軸でやりたいことを見つける,任されること、そして達成することで信頼され自信につながる,人から必要とされることがやりがい,人生をすごろくのように考え、失敗しても前に進んでいれば良い,頭で考えず、心の声に従って挑戦する, , , ,,,, , ,0,, 
吉松,24020443,全てが今に繋がる,ブームで終わらせない,露出の仕方,自分のしてきたことを信じる,学内の思い出作り, , , ,,,, , ,0,, 
吉松,24020495,学校生活だけでなくアルバイトなどの多様な活動と経験を通じて自分の適性を見つけられる場合もある。,仕事の現場では0から始める場合が多いが任された仕事に対し誠意を持って成果を出せば信頼をもらえる。,仕事を理解するためには積極的にそれに関する多様な質問をし勉強するなどの努力を行う必要がある。,専門的なプロでなくても常に目の前の仕事に集中し頑張ることが大事である。,失敗はで経験であるためそれを畏れず自分の好きなことをたくさんしてみてほしい。, , , ,,,, , ,0,, 
吉松,24020707,打ち込めることを見つける。,キャリアチェンジはチャンスである。,より良い店舗にするためには分析を怠らない。,社員や地元の人との関係性を大切にし、地域密着型の店舗にすることで集客を増やす。,今できることを全力で行う。, , , ,,,, , ,0,, 
吉松,24020719,転職に対して後ろめたいイメージを持たない,現在の人とのつながりを絶やさず社会に出てからでも活かせるようにする,どんな仕事を任せられるかは運命でもそれを続けられるかは自分の実績や信頼,心の声を聞きどんどんトライする,褒める時には自分が相手を見ているということを意識させる, , , ,,,, , ,0,,再履修
吉松,24020768,マスタリーフォアサービスの精神がどういったところに活かしていけるか、必要かなど。,お客様を優先に考える。お客様ファーストの精神。,常にブラッシュアップして、お客様とブランドの結び付けなど常に色々考え更新し続ける必要性。,学生生活においてなにか頑張った経験、努力したことを作っておくこと。いずれなにかしらの財産になる。,失敗をしてもいい。失敗を経験だと捉える。, , , ,,,, , ,0,, 
吉松,24020770,ブルーボトル,近くで仕事を見る,コンシェルジュ,文化の違い,心を通わせる, , , ,,,, , ,0,, 
吉松,24020774,香港でお店をオープンする時にコロナの影響でオープンが先延ばしになった。,チームマネジメントにおいてリコグニションや国による感覚の違いを尊重することを意識している。,CBOとしての魅力はブランドの作り方を学べることとマルチカルチャーな環境であるから刺激的であること。,地元の方に来ていただける街のコーヒー屋さんになりたいという思いで清澄白河の店舗を作った。,学生時代に戻ったら、学内やサークル活動などを通して友人との繋がりを多く作っておきたい。, , , ,,,, , ,0,, 
吉松,24020778,何をしたいかわからない時、様々なアルバイトをすることで自分を知っていった。,任され続けるということは、仕事で成果を出し続けなければできない,国ごとで働く人もお客さんもタイプが異なるが、その時々のトレンドを掴むことは大切,どこに行ってもきちんと見ているよと働き手に対して伝えることは大切,ローカルな人たちから出た意見は、ブランドとしての意見と擦り合わせて考えるようにしている, , , ,,,, , ,0,,再履修
吉松,24020780,コーヒーを鮮度があるフルーツとして扱う。,ブランドの作り方や大事にすることを守りながら育てていく。,チームマネジメントも文化によって異なる。,自分の感覚を共有することに間違いはない。,私たちがやってきたことが私たちの信じてきたことだから、一緒に文化を育てていこう。, , , ,,,, , ,0,, 
吉松,24020787,失敗しといた方がいいこともある,選択した責任は自分で取る,学生の間に自分の感性を信じてたくさん体験する,やると決めたらやる,上に進むより、前へ進む, , , ,,,, , ,0,, 
吉松,24020817,転職をくり返していたが周りの目は気にせず自分の心のまま行動すれば良い,学生時代のアルバイト経験から自分の適性に気づく。,留学セミナーなど大変なことを一人でやり切ることで自信が身に付く,自身の知らないコーヒーのことについては知っている人から聞いて理解することが大切,ブランドを単に流行とするのではなく、ブームを文化に変えていくことがブランディングである, , , ,,,, , ,0,, 
吉松,24020877,食堂が思い出として残っている,期待に応えたいという気持ちが強い,財産として感じるのは総合政策学部の時の仲間たち,学校の中での思い出が少ないのが少し寂しい,失敗は経験なのでどんどんした方が良い, , , ,,,, , ,0,, 
吉松,24021039,世界を視野に入れる仕事,色んな文化から刺激を得る,アルバイトを通して自分の適性を考える,大きな責任を伴う経験,０から１を作り上げる, , , ,,,, , ,0,, 
吉松,24021055,チームワークが必要である。,アルバイトを通して自分を知る,成果を出し続ける,現地スタッフと心を通わせる,ブームから文化へ, , , ,Pattern138,チームワーク必要アルバイト自分成果現地スタッフ心ブーム文化,0.86,"対象:23022180 時期:2022/11/14 7:13全てのキーワード:チームワークはどこにいても大切,アルバイトを通じて自分を知ることは大切,ブームから文化へ,現地スタッフと心を通わせる,成果を出し続ける", ,0,, 
吉松,24021057,若いうちにいっぱい失敗するのは大事,色々なネットワークを学生のうちから作るべき,ブームで終わるのではなく文化を形成する,休憩や失敗も人生に必要,ピラミッド型に人生を考えるのではなく前に進むことを考える, , , ,,,, , ,0,, 
吉松,24021063,相手の文化を頭ごなしに否定するのではなく理解しようとする,ブランドを一時的なブームではなく地域と密着した文化にしていく,失敗を恐れず心の声を聞くことが大切,誰と一緒に働きたいかをまず大切にする,全部の体験がブランドに繋がる, , , ,,,, , ,0,, 
吉松,24021067,アルバイトを通して自分がどのような仕事に適しているのか見つけることもできる,実績を残し信頼を得ることで新たな仕事を与えてもらえる,若いうちにたくさん失敗を経験する,誰と一緒に仕事をしていきたいかはとても大切な要素,人との関わりを生涯大切にする, , , ,,,, , ,0,,再履修
吉松,24021076,前に進んでいることが大事,ブームから文化にしていく,若い時にいっぱい失敗しておく,会社の目指してる世界観とお客様のニーズをどう繋げるか,自分が打ち込めることを見つける, , , ,Pattern244,前ことブーム文化時失敗会社世界客ニーズ自分こと,0.81,"対象:26022435 時期:2022/11/14 13:39全てのキーワード:今打ち込めることをみつける,色んなことを自分で調べる,ブームから文化へ,常に目の前にあることをしっかり成し遂げる,会社の世界観と客のニーズ", ,0,,再履修
吉松,24021086,学生生活を楽しみながら、自分が打ち込めると思ったことを突き詰める。,人生は双六。失敗してもいいし、することも必要,自分の適性にきづける大学生生活,頭で考えるだけではだめで、心の声を聞くべき。,一緒に働きたいと思われる人に。, , , ,,,, , ,0,, 
吉松,24021096,マルチカルチャーの中で働く魅力が今の仕事にあり、海外の人に部下が多い。,学生当時の授業が今の自分にも生かされているなと思う。,人を支えることが性に合っており、アルバイトの秘書代行の経験がとても貴重であった。,海外の企業を日本に持ってくることを学んだ後、経験を日本のブランドを海外展開することに生かした。,メディアは企業のストーリーのコンテキストを構成してくれるところとしか組まないと決めていた。, , , ,,,, , ,0,, 
吉松,24021097,自分のやってきたことと自分のやりたいことがすごくマッチした,好きだと思ったことにどんどんトライしてみる,心の声を聴く,頭で考えると失敗する,大人になってからの失敗は傷が残るから若い頃にたくさん失敗する方がいい, , , ,,,, , ,0,, 
吉松,24021107,失敗は経験なので、好きだと思うことをどんどんトライしてみる,人から必要とされると嬉しく、期待に応えたいということにやりがいを感じる,やっていることに対して結果が出たらみんなの前でほめる、見ているということの重要性,国の違いを受け入れる、どこまでローカルの意見をリスペクトして取り入れるのか,転職に対してネガティブなイメージを持たず、選択の責任は自分で取ればいい、決めたらやればいい, , , ,,,, , ,0,, 
吉松,24021122,「詳しくない時は周りの人に積極的に聞く。」,「ブルーボトルコーヒーにおいて大切なものを自分なりに理解する。」,「自分の足でいろんなところへ行って勉強する。」,「現地に行ってそこの国の人と話してコーヒーのいい所を聞く。」,現地スタッフと心を通わせることが一番大事である。」, , , ,,,, , ,0,, 
吉松,24021137,人生はすごろく振り出しに戻ってもそれは前進だという言葉にすごく感銘を受けました,心の声を聴く頭で考えると判断が鈍ってしまうから本当は何がしたいのかやや直観に従った方がいい,任されるのは信頼されているから頼られることが嬉しいと感じているというのはすごいなと思いました,ブームから文化へコンセプトを軸にしてブレずに確固として地元のコーヒー屋を目指しているのにこだわり,目の前にあることを成し遂げていくがむしゃらにその場でやっていれば後からみればつながっている, , , ,,,, , ,0,, 
吉松,24021138,マルチカルチャーの中で働くということ,褒めることを重視,人から必要とされることの積み重ねがやりがいに繋がる,失敗は経験である,自分の心の声を聴く, , , ,,,, , ,0,, 
吉松,24021177,アルバイト等から自分に何が向いているか学ぶ,たくさんの経験をする。そこから人間関係が広がる,ブランドはブームを作る。ブームから文化へ。町の文化を変えていく,やったらやりきろうとする覚悟,一歩を踏み出す勇気が必要, , , ,,,, , ,0,, 
吉松,24021185,「褒めること」と「レコグニションすること」が大切であるということ。,任されるというのは頼られているということ、つまり信頼してもらえているということ。,人生は双六で、休みや戻ることがあっても良い。それも含めて前に進んでいることが大切であるということ。,頭で考えるのではなく、心の声を聴いて、失敗を恐れずにトライすることが大切であるということ。,アルバイトや転職など様々な経験が将来につながるため、積極的に経験を積むことが大切であるということ。, , , ,,,, , ,0,, 
吉松,24021211,0から1を立ち上げる,信頼されないと仕事を任され続けられることはない,詳しくないから周りの人に聞く,自分の足で勉強をしに行く,ブームから文化へ, , , ,,,, , ,0,,再履修
吉松,24021224,マルチカルチャー,全体の体験がブランドにつながる,人生はすごろく,どんどん失敗する,心の声を聞く, , , ,,,, , ,0,, 
吉松,24021249,自分の適性を築く,０から１の無かった事業を立ち上げる,人生はすごろく,常に目の前にあることをしっかりと成し遂げていく,人のために役立とうがステージへつながる, , , ,,,, , ,0,,再履修
吉松,24021252,若い時の失敗はどんどんした方がよい,ゼロから1を立ち上げる仕事,学生時代の経験やつながりが今に活きている,アルバイトから自分の適性に気づいていった,現地の人と心を通わせる, , , ,,,, , ,0,, 
吉松,24021254,マルチカルチャーでは褒めることが大事,アルバイトでの自己分析,ローカルの意見をリスペクト,自分のやってきた信念を曲げない,キャリアチェンジなどでいろんなことを経験, , , ,Pattern96,マルチカルチャーことアルバイト自己分析ローカル意見リスペクト自分信念キャリアチェンジこと経験,0.2777777777777778,"対象:22022417 時期:2022/06/07 12:18全てのキーワード:マルチカルチャーでは褒めることが大事,アルバイトでの自己分析,ローカルの意見をリスペクトして受け入れる,自分のやってきた信念をまげない,キャリアチェンジなどで色々なことを経験する", ,0,,再履修
吉松,24021269,自分のことをよく知る,ローカルから上がる意見を取り入れる,誠意を持つことが重要,失敗を恐れない,色々な経験をする, , , ,Pattern71,自分ことローカル意見誠意こと失敗経験,0.92,"対象:22021810 時期:2022/11/13 23:06全てのキーワード:自分のことをよく知ることが大事,さまざまな経験を積むことの重要性,誠意を持つこと,失敗を恐れない,ローカルな意見を取り入れる", ,0,,再履修
吉松,24021279,色々な経験から適性を見つけ出す。,任されるのは頼られている証拠。,ブランドとしてやるべきことと、お客様のニーズをくみ取って事業展開するために、柔軟に議論する。,先頭に立つ人のサポートをしたいという思いでアルバイトをしていた。,感性など、人だからこそできる価値があるから、経験することが大事。, , , ,,,, , ,0,, 
吉松,24021283,大学はバイトなどの学外での活動もいいが、サークルなどの学内での活動にも積極的に参加するべきだ。,自分の適性に気付くためには、学校やアルバイト、海外旅行などの沢山の経験を通すことが大事である。,仕事をしていく上で任されるということは名誉あることである。理由は、それは信頼されている証拠だから。,全然できない(知らない)というような時は、できる(知っている)人に積極的に教えてもらうことが大事。,どんなに辛いことでも楽しく行うことが大事である。また、失敗という経験はどんどんトライした方がいい。, , , ,,,, , ,0,, 
吉松,24021287,自分の適性に気づく,感性を研ぎ澄ますには経験が必要,人生は「すごろく」だから進むことも止まることも戻ることもある,決めたらやる,とりあえず一歩踏み出してみる, , , ,,,, , ,0,,再履修
吉松,24021306,がむしゃらに頑張ることが後に生きてくる,新しい仕事を任せられるのは信頼されている証拠,様々なアルバイトを通して自分に向いているものを見つけた,褒めることの大切さに気づく,何事にもチャレンジすることで感性を磨く, , , ,,,, , ,0,,再履修
吉松,24021312,チームマネジメント,マルチカルチャー,サービス精神,海外新規事業,ブランディング, , , ,,,, , ,0,, 
吉松,24021328,頭で考えた時の判断は大抵失敗する事が多く、何事も直感を大事にすること。,若いうちは失敗を恐れないこと。若いうちにたくさん失敗をすること。大人の失敗は傷として残りやすい。,頭でっかちにならずに心の声に従って自分が好きだと思うことにトライすることが大切。,物作りの現場においては「感じる力」が大切である。そして｢感じる力｣はロジックからは生まれない。,人の役に立とうとして成し遂げたことがキャリアステップに繋がる。, , , ,,,, , ,0,, 
吉松,24021337,任されることは頼られること,マネージメントには褒めることが大切,ブームから文化にすることが大切であり、文化にするにはにもとから愛されることが必要。,人生はすごろく,人と一緒に体感することの大切さ, , , ,,,, , ,0,, 
吉松,24021350,相手を褒めることは非常に重要で、特にマルチカルチャーな職場では「文化の違い」に注意すべきである。,仕事を任され続けることは信頼されている証拠であり、人から必要とされる喜びが仕事のやりがいになる。,事業を行う際、「ブーム」だと終わりが来るので、「文化」として地域に根付かせることが重要である。,ピラミッド的にキャリアを考えすぎると動けなくなるため、頭で考えすぎず心の声を聴くことも重要である。,失敗も経験となるので、勇気をもって一歩を踏み出し、不確定事項への耐性を身に着けるべきである。, , , ,,,, , ,0,, 
吉松,24021352,好きだなと思うことを取り敢えずやって見る,経験を沢山積む,やると言ったらやる,アルバイトを通して自分のことを知る,失敗は良いこと, , , ,,,, , ,0,,再履修
吉松,24021362,まず相手を褒めることが大切である。,人から必要とされることが仕事のやりがいになること。,たとえ失敗したとしても、そこから学ぶことが重要である。,学生時代に、いろんな人とのつながりを幅広く持っておく必要がある。,失敗は経験になるので、やりたいと思うことはたくさん挑戦するべきである。, , , ,Pattern253,相手こと必要こと仕事やりがいこと失敗こと学生時代人つながり必要失敗経験こと挑戦,0.86,"対象:24021454 時期:2022/11/11 6:30全てのキーワード:相手を褒めること,人から必要とされることが仕事のやりがい,失敗し、そこから学ぶことが重要,学生時代に人とのつながりを幅広く持っておくべき,失敗は経験になるので恐れずにたくさんの挑戦をするべき", ,0,, 
吉松,24021365,失敗も経験だからどんどん挑戦するべき,頭で考え過ぎず、心の声も聴く,若い時にたくさん失敗しておくべき,感じる力を鍛える,何か打ち込めることを見つける, , , ,,,, , ,0,, 
吉松,24021368,任されるというのは信頼されているということ,ブームから文化へ,地元の方に愛されることが最も大切,失敗は経験,頭で考えずに、心の声を聞く, , , ,,,, , ,0,, 
吉松,24021375,自分で開拓していくしかない,任されるって頼られてる,任され続けるのは信頼されてる,ピラミッド的にキャリアを考えると行き詰まるから前に進んでいるかで考える,転職は逃げではない, , , ,,,, , ,0,,再履修
吉松,24021380,自分が経験したことによって自分を知ることができる,失敗は経験になるので様々なことに挑戦する,ブームは文化になる,人のためにがむしゃらに頑張ることで次のことにつながる,今打ち込めることを大切にする, , , ,,,, , ,0,, 
吉松,24021387,いろんな人の助けがあるから生きていける,一歩踏み出す勇気を持つ,常に目の前にあるにあることを成し遂げていく,自分の心の声を聴く,今できること、今打ち込めることを見つける, , , ,,,, , ,0,, 
